Unable to find route name details via bustimes.org for ('1', 'LNUD', 'The Blackburn Bus Company'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('551', 'NATX', 'National Express'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('PHS7', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('125R', 'SCMY', 'Stagecoach Merseyside and South Lancashire'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('786', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('832', 'ANEA', 'Arriva North East'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('464', 'ROST', 'Rosso'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('171', 'NATX', 'National Express'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('170', 'NATX', 'National Express'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('X8', 'SCMY', 'Stagecoach Merseyside and South Lancashire'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('PHS6', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('5A', 'NWBT', 'Pilkingtonbus'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('790', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('663', 'BNSM', 'Bee Network'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('840', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('188', 'DAGC', 'D & G Bus'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('374', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('PHS1', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('850', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('705', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('PHS2', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('PHS3', 'BEVC', 'Belle Vue Coaches'). Using route_short_name and agency_name/noc instead.
Unable to find route name details via bustimes.org for ('70', 'ASHT', 'Ashcroft Travel'). Using route_short_name and agency_name/noc instead.
